id,name,gender,age,birthday,address
b906804c-c199-3261-ec29-a839804ed5fe,폴 바셋 북촌4호점,폴 바셋,대전 유성구 83대로 33
dcfdbee5-f80b-774c-d1f5-32fe0ee8a15f,메가커피 합정4호점,메가커피,서울 송파구 63대로 42
de8607c5-2cbf-d3b5-8719-1fafda8307da,스타벅스 성수2호점,스타벅스,인천 부평구 28로 32
9d512b9c-7f02-3cc3-2302-d00704d44754,이디야 석관1호점,이디야,시흥 정왕동 36길 8
08291fde-472f-40a2-dd4a-6a5593d12c43,빽다방 서촌9호점,빽다방,서울 송파구 44대로 64
17f926cd-ffc7-b201-65d3-e3fc2659a913,메가커피 신촌4호점,메가커피,서울 송파구 47길 71
bb296060-097b-8797-a4ee-d5b033e47526,쥬씨 홍대7호점,쥬씨,인천 부평구 70길 29
0d00d140-3fd3-2852-195d-9fcbde68f203,이디야 신촌9호점,이디야,서울 송파구 75대로 54
f7ffd71b-5e21-f6da-dc70-d20be1ba1ad5,투썸플레이스 성수5호점,투썸플레이스,부산 수영구 97로 73
c998b4cd-ad86-2989-e7ea-ffeb0325f7f8,폴 바셋 합정7호점,폴 바셋,시흥 정왕동 5대로 100
cb3b45a1-af24-6b16-180c-e1eca9150a88,투썸플레이스 북촌8호점,투썸플레이스,서울 송파구 15길 59
a50ff0fb-c259-e74c-e249-941664dcd0e0,컴포즈커피 강서6호점,컴포즈커피,부산 수영구 9길 78
c810febf-c872-1713-b056-e6709d8e2a0c,요거프레소 석관6호점,요거프레소,부산 수영구 71길 43
88cb1c69-f030-f94f-2945-a6c1ee0c437b,폴 바셋 신촌6호점,폴 바셋,부산 수영구 32대로 81
d1324905-a7db-5bbe-7fe7-78fd446d9d51,쥬씨 북촌4호점,쥬씨,시흥 정왕동 90대로 31
da8a3e85-e291-35a9-a6ce-a934d58d02d4,쥬씨 북촌4호점,쥬씨,울산 동구 74대로 82
d29fbdec-c174-f48b-9c2e-c1a0b89cb7f6,폴 바셋 석관10호점,폴 바셋,울산 동구 94로 64
